Feed ID,Site,Feed Name,Feed URL,Faculty/Unit/Group,Script,Type,Notes,Tags,Time Limit
philosophy-events,Philosophy,Philosophy events,http://www.soton.ac.uk/philosophy/news/feeds/philosophy_events.page,http://id.southampton.ac.uk/org/FJ,RSS,Event,,,
philosophy-seminars,Philosophy,Philosophy seminars,http://www.soton.ac.uk/philosophy/news/feeds/philosophy_seminars.page,http://id.southampton.ac.uk/org/FJ,RSS,Seminar,,,
politics-events,Politics,Events from Politics & International Relations,http://www.soton.ac.uk/politics/news/feeds/events_politics.page,http://id.southampton.ac.uk/org/F8CC040000,RSS,Event,,,
politics-seminars,Politics,Seminars from Politics & International Relations,http://www.soton.ac.uk/politics/news/feeds/seminar_politics.page,http://id.southampton.ac.uk/org/F8CC040000,RSS,Seminar,,,
psychology-events,Psychology,Psychology events,http://www.southampton.ac.uk/psychology/news/feeds/psychology_events_feed.page,http://id.southampton.ac.uk/org/JW,RSS,Event,,,
psychology-seminars,Psychology,Psychology Seminars (general),http://www.soton.ac.uk/psychology/news/feeds/psy_seminars_general.page,http://id.southampton.ac.uk/org/JW,RSS,Seminar,,,
psychology-seminars-3095,Psychology,Psychology seminars (room 3095),http://www.soton.ac.uk/psychology/news/feeds/psy_3095_seminars.page,http://id.southampton.ac.uk/org/JW,RSS,Seminar,,,
social-work-events,Social work,Events from Social Work,http://www.soton.ac.uk/socialwork/news/feeds/events_social_work.page,http://id.southampton.ac.uk/org/F8CC020000,RSS,Event,,,
social-work-seminars,Social work,Seminars from Social Work,http://www.soton.ac.uk/socialwork/news/feeds/seminars_social_work.page,http://id.southampton.ac.uk/org/F8CC020000,RSS,Seminar,,,
sociology-events,Sociology,Events from Sociology & Social Policy,http://www.soton.ac.uk/sociology/news/feeds/sociology_events.page,http://id.southampton.ac.uk/org/F8CC050000,RSS,Event,,,
sociology-seminars,Sociology,Seminars from Sociology & Social Policy,http://www.soton.ac.uk/sociology/news/feeds/sociology_seminars.page,http://id.southampton.ac.uk/org/F8CC050000,RSS,Seminar,,,
socsci-events,Socsci,Events from Social Sciences,http://www.soton.ac.uk/socsci/news/feeds/socsci_events.page,http://id.southampton.ac.uk/org/CC,RSS,Event,,,
socsci-seminars,Socsci,Seminars from Social Sciences,http://www.soton.ac.uk/socsci/news/feeds/seminars_social_sciences.page,http://id.southampton.ac.uk/org/CC,RSS,Seminar,,,
soes-events,SOES,Ocean and Earth Science events,http://www.soton.ac.uk/soes/news/feeds/soes_events.page,http://id.southampton.ac.uk/org/HN,RSS,Event,,,
